name,material,geometry,delta_apex_um,delta_ring_radial_um,delta_K_diopters,epsilon_circ,sigma_max_mpa,asymmetry_index,flattest_meridian_deg,steepest_meridian_deg,c,k1,k2,kappa,arc_degrees,profile
mat_canonical_geom_arc_160,canonical,arc_160,567.1098386599999,20.214754538929906,-3.145949548779585,0.0019444716482301617,0.0,1.0,0.0,285.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_baseline,canonical,baseline,549.697405476,33.03108440203088,-3.049356909075443,0.004988968872998541,0.0,1.7288729810074416e-06,30.0,0.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_arc_090,canonical,arc_090,561.452707288,26.320947443248613,-3.114567533032544,0.003375271199254184,0.0,1.0,0.0,255.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_arc_120,canonical,arc_120,563.478153153,24.029974343796685,-3.125803364384245,0.0028345873500867456,0.0,1.0,0.0,180.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_arc_255,canonical,arc_255,576.610700272,11.216668299295801,-3.198654032573964,-0.0001586190603278495,0.0,1.0,0.0,300.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_arc_210,canonical,arc_210,571.498129721,15.947544119713642,-3.1702928793694523,0.0009500776057527111,0.0,1.0,0.0,270.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_arc_320,canonical,arc_320,583.928222096,4.2292956144613045,-3.2392467941715974,-0.001813072666637947,0.0,1.0,0.0,330.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_arc_360,canonical,arc_360,583.6829540140001,0.0,-3.237886209397189,-0.00285334265036305,0.0,0.0,0.0,0.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_asym_control_sym250,canonical,asym_control_sym250,567.1098386599999,20.21475453892665,-3.145949548779585,0.0019444716482294212,0.0,1.0,0.0,285.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_asym_prog_300to150,canonical,asym_prog_300to150,590.980718693,20.172150758238313,-3.278369371447854,0.0019445658537475686,0.0,1.0,0.0,225.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_asym_prog_350to150,canonical,asym_prog_350to150,590.980718693,20.172150758238313,-3.278369371447854,0.0019445658537475686,0.0,1.0,0.0,225.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_asym_prog_150to300,canonical,asym_prog_150to300,590.980717659,20.17215153929854,-3.2783693657119075,0.001944566021420439,0.0,1.0,90.0,285.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_asym_parab_300to150,canonical,asym_parab_300to150,579.5372015109999,20.27264662382487,-3.214888321991493,0.001955402734890948,0.0,1.0,45.0,225.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_asym_prog_arc210,canonical,asym_prog_arc210,603.6446854229999,15.951114704271722,-3.348620666177884,0.0009557132824047119,0.0,1.0,0.0,255.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_pachy_normal,canonical,pachy_normal,567.1098386599999,20.21475453892672,-3.145949548779585,0.0019444716482294548,0.0,1.0,0.0,285.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_pachy_thin,canonical,pachy_thin,700.871269577,24.480785096973804,-3.8879693208783275,0.0029334587779628837,0.0,1.0,255.0,180.0,0.05,0.22,100.0,0.09,160,symmetric
mat_canonical_geom_pachy_thick,canonical,pachy_thick,478.99079469,17.501402003508264,-2.6571234912536976,0.0013150060493270046,0.0,1.0,0.0,255.0,0.05,0.22,100.0,0.09,160,symmetric
