name,arc,profile,t_base,t_delta,converged,sim_time_s,tau_proxy_mm,tau_uNm,delta_apex_um,delta_inf_um,delta_sup_um,status
SYM_t100_arc90,90,symmetric,100,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t150_arc90,90,symmetric,150,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t200_arc90,90,symmetric,200,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t250_arc90,90,symmetric,250,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t300_arc90,90,symmetric,300,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t350_arc90,90,symmetric,350,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t100_arc120,120,symmetric,100,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t150_arc120,120,symmetric,150,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t200_arc120,120,symmetric,200,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t250_arc120,120,symmetric,250,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t300_arc120,120,symmetric,300,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t350_arc120,120,symmetric,350,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t100_arc160,160,symmetric,100,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t150_arc160,160,symmetric,150,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t200_arc160,160,symmetric,200,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t250_arc160,160,symmetric,250,0,True,0.5,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t300_arc160,160,symmetric,300,0,True,0.8,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t350_arc160,160,symmetric,350,0,True,0.7,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t100_arc210,210,symmetric,100,0,True,0.5,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t150_arc210,210,symmetric,150,0,True,0.5,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t200_arc210,210,symmetric,200,0,True,0.5,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t250_arc210,210,symmetric,250,0,True,0.8,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t300_arc210,210,symmetric,300,0,True,0.6,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t350_arc210,210,symmetric,350,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t100_arc270,270,symmetric,100,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t150_arc270,270,symmetric,150,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t200_arc270,270,symmetric,200,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t250_arc270,270,symmetric,250,0,True,0.5,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t300_arc270,270,symmetric,300,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t350_arc270,270,symmetric,350,0,True,0.5,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t100_arc320,320,symmetric,100,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t150_arc320,320,symmetric,150,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t200_arc320,320,symmetric,200,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t250_arc320,320,symmetric,250,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t300_arc320,320,symmetric,300,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
SYM_t350_arc320,320,symmetric,350,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t150+100_arc160,160,linear,150,100,True,0.5,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t200+100_arc160,160,linear,200,100,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t200+150_arc160,160,linear,200,150,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t250+100_arc160,160,linear,250,100,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t150+100_arc210,210,linear,150,100,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t200+100_arc210,210,linear,200,100,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t200+150_arc210,210,linear,200,150,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t250+100_arc210,210,linear,250,100,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t150+100_arc270,270,linear,150,100,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t200+100_arc270,270,linear,200,100,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t200+150_arc270,270,linear,200,150,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
PROG_t250+100_arc270,270,linear,250,100,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
CTRL_no_ring,0,symmetric,0,0,True,0.4,0.0,0.0,0,0.0,0.0,missing_nodes
CTRL_sym200_arc160,160,symmetric,200,0,True,0.3,0.0,0.0,0,0.0,0.0,missing_nodes
