name,arc,profile,t_base,t_delta,converged,sim_time_s,delta_apex_um,delta_inf_um,delta_sup_um,asymm_um,apex_shift_mm,coma_um,n_inf,n_sup,status
SYM_t100_arc90,90,symmetric,100,0,True,0.3,512.56,176.87,127.79,49.0794,0.1094,0.1334,18,18,ok
SYM_t150_arc90,90,symmetric,150,0,True,0.3,528.76,177.75,158.46,19.2907,0.043,0.0524,18,18,ok
SYM_t200_arc90,90,symmetric,200,0,True,0.3,544.84,178.52,189.06,-10.5393,0.0235,0.0287,18,18,ok
SYM_t250_arc90,90,symmetric,250,0,True,0.3,560.8,179.19,219.62,-40.4381,0.0901,0.1099,18,18,ok
SYM_t300_arc90,90,symmetric,300,0,True,0.5,576.65,179.76,250.19,-70.4325,0.157,0.1915,18,18,ok
SYM_t350_arc90,90,symmetric,350,0,True,0.6,592.44,180.24,280.79,-100.5485,0.2241,0.2734,18,18,ok
SYM_t100_arc120,120,symmetric,100,0,True,0.4,502.23,171.45,127.87,43.5824,0.0971,0.1185,18,18,ok
SYM_t150_arc120,120,symmetric,150,0,True,0.3,522.56,174.59,158.52,16.0707,0.0358,0.0437,18,18,ok
SYM_t200_arc120,120,symmetric,200,0,True,0.4,542.74,177.6,189.1,-11.5035,0.0256,0.0313,18,18,ok
SYM_t250_arc120,120,symmetric,250,0,True,0.3,562.79,180.52,219.66,-39.1402,0.0872,0.1064,18,18,ok
SYM_t300_arc120,120,symmetric,300,0,True,0.3,582.73,183.38,250.22,-66.8393,0.149,0.1817,18,18,ok
SYM_t350_arc120,120,symmetric,350,0,True,0.3,602.56,186.2,280.8,-94.6004,0.2108,0.2572,18,18,ok
SYM_t100_arc160,160,symmetric,100,0,True,0.3,487.35,145.51,128.11,17.3965,0.0388,0.0473,18,18,ok
SYM_t150_arc160,160,symmetric,150,0,True,0.3,513.85,165.21,158.75,6.463,0.0144,0.0176,18,18,ok
SYM_t200_arc160,160,symmetric,200,0,True,0.4,540.19,184.82,189.33,-4.5035,0.01,0.0122,18,18,ok
SYM_t250_arc160,160,symmetric,250,0,True,0.6,566.4,204.37,219.87,-15.5023,0.0345,0.0421,18,18,ok
SYM_t300_arc160,160,symmetric,300,0,True,0.4,592.49,223.88,250.41,-26.533,0.0591,0.0721,18,18,ok
SYM_t350_arc160,160,symmetric,350,0,True,0.3,618.49,243.38,280.98,-37.595,0.0838,0.1022,18,18,ok
SYM_t100_arc210,210,symmetric,100,0,True,0.3,473.0,120.0,128.44,-8.4374,0.0188,0.0229,18,18,ok
SYM_t150_arc210,210,symmetric,150,0,True,0.3,505.73,156.02,159.12,-3.1021,0.0069,0.0084,18,18,ok
SYM_t200_arc210,210,symmetric,200,0,True,0.5,538.33,191.99,189.74,2.2544,0.005,0.0061,18,18,ok
SYM_t250_arc210,210,symmetric,250,0,True,0.7,570.81,227.93,220.3,7.6306,0.017,0.0207,18,18,ok
SYM_t300_arc210,210,symmetric,300,0,True,0.7,603.2,263.88,250.86,13.0252,0.029,0.0354,18,18,ok
SYM_t350_arc210,210,symmetric,350,0,True,0.7,635.52,299.87,281.43,18.4369,0.0411,0.0501,18,18,ok
SYM_t100_arc270,270,symmetric,100,0,True,0.3,455.07,100.0,127.73,-27.7306,0.0618,0.0754,18,18,ok
SYM_t150_arc270,270,symmetric,150,0,True,0.5,496.02,150.0,159.03,-9.0329,0.0201,0.0246,18,18,ok
SYM_t200_arc270,270,symmetric,200,0,True,0.3,536.9,200.0,190.24,9.764,0.0218,0.0265,18,18,ok
SYM_t250_arc270,270,symmetric,250,0,True,1.0,577.75,250.0,221.38,28.6226,0.0638,0.0778,18,18,ok
SYM_t300_arc270,270,symmetric,300,0,True,0.3,618.57,300.0,252.49,47.5053,0.1059,0.1292,18,18,ok
SYM_t350_arc270,270,symmetric,350,0,True,0.3,659.38,350.0,283.63,66.375,0.1479,0.1805,18,18,ok
SYM_t100_arc320,320,symmetric,100,0,True,0.3,443.42,100.0,115.48,-15.4845,0.0345,0.0421,18,18,ok
SYM_t150_arc320,320,symmetric,150,0,True,0.3,489.99,150.0,153.79,-3.7941,0.0085,0.0103,18,18,ok
SYM_t200_arc320,320,symmetric,200,0,True,0.3,536.56,200.0,192.04,7.9556,0.0177,0.0216,18,18,ok
SYM_t250_arc320,320,symmetric,250,0,True,0.4,583.15,250.0,230.3,19.7026,0.0439,0.0536,18,18,ok
SYM_t300_arc320,320,symmetric,300,0,True,0.3,629.79,300.0,268.61,31.3853,0.0699,0.0853,18,18,ok
SYM_t350_arc320,320,symmetric,350,0,True,0.6,676.49,350.0,307.06,42.9438,0.0957,0.1168,18,18,ok
PROG_t200+50_arc160,160,linear,200,50,True,0.4,553.3,202.6,194.97,7.6281,0.017,0.0207,18,18,ok
PROG_t200+100_arc160,160,linear,200,100,True,0.3,566.35,220.35,200.6,19.7508,0.044,0.0537,18,18,ok
PROG_t200+150_arc160,160,linear,200,150,True,0.4,579.35,238.12,206.22,31.8985,0.0711,0.0867,18,18,ok
PROG_t250+100_arc160,160,linear,250,100,True,0.3,592.45,239.9,231.13,8.7666,0.0195,0.0238,18,18,ok
PROG_t250+150_arc160,160,linear,250,150,True,0.4,605.41,257.71,236.75,20.9689,0.0467,0.057,18,18,ok
PROG_t300+100_arc160,160,linear,300,100,True,0.5,618.45,259.47,261.66,-2.1856,0.0049,0.0059,18,18,ok
PROG_t200+50_arc210,210,linear,200,50,True,0.8,554.56,221.46,194.09,27.3699,0.061,0.0744,18,18,ok
PROG_t200+100_arc210,210,linear,200,100,True,0.3,570.73,250.94,198.42,52.5218,0.117,0.1428,18,18,ok
PROG_t200+150_arc210,210,linear,200,150,True,0.3,586.86,280.46,202.72,77.7416,0.1733,0.2114,18,18,ok
PROG_t250+100_arc210,210,linear,250,100,True,0.3,603.13,286.94,228.95,57.9972,0.1293,0.1577,18,18,ok
PROG_t250+150_arc210,210,linear,250,150,True,0.3,619.23,316.54,233.23,83.3111,0.1857,0.2265,18,18,ok
PROG_t300+100_arc210,210,linear,300,100,True,0.5,635.46,323.01,259.46,63.5504,0.1416,0.1728,18,18,ok
PROG_t200+50_arc270,270,linear,200,50,True,0.4,557.3,235.29,194.13,41.1625,0.0917,0.1119,18,18,ok
PROG_t200+100_arc270,270,linear,200,100,True,0.4,577.64,270.59,197.98,72.6082,0.1618,0.1974,18,18,ok
PROG_t200+150_arc270,270,linear,200,150,True,0.6,597.93,305.88,201.79,104.0953,0.232,0.283,18,18,ok
PROG_t250+100_arc270,270,linear,250,100,True,0.3,618.47,320.59,229.06,91.5265,0.204,0.2488,18,18,ok
PROG_t250+150_arc270,270,linear,250,150,True,0.3,638.76,355.88,232.85,123.0363,0.2742,0.3345,18,18,ok
PROG_t300+100_arc270,270,linear,300,100,True,0.3,659.29,370.59,260.13,110.4582,0.2462,0.3003,18,18,ok
